# A Homogeneous Main-Sequence Model
# The surface conditions are: The central conditions are:
# Mtot = 1.200000E+00 Msun, Mc/Mtot = 7.07150E-01
# Rtot = 5.202038E-01 Rsun, Rc/Rtot = 3.03000E-01
# Ltot = 1.000000E+00 Lsun, Lc/Ltot = -2.67558E-01
# Teff = 8.000000E+03 K, Density = 3.05198E+02
# X = 7.000000E-01, Temperature = 4.43663E+07
# Y = 2.000000E-01, Pressure = 1.78734E+18 dynes/cm**2
# Z = 1.000000E-01, epsilon = -6.06505E-01 ergs/s/g
# dlnP/dlnT = -2.48271E+01
# Notes:
# (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot = 1.989000E+33
# (2) Convective zones are indicated by 'c', radiative zones by 'r'
# (3) dlnP/dlnT may be limited to +99.9 or -99.9, labeled by '*'
r,Qm,L_r,T,P,rho,kappa,eps,dlPdlT,Zone
2.31E+10,7.12E-03,3.83E+33,4.12E+06,5.57E+14,1.02E+00,1.77E+01,3.45E-04,  4.6,r
2.31E+10,7.02E-03,3.83E+33,4.10E+06,5.46E+14,1.01E+00,1.77E+01,3.30E-04,  4.6,r
2.31E+10,6.91E-03,3.83E+33,4.08E+06,5.36E+14,9.93E-01,1.78E+01,3.16E-04,  4.6,r
2.32E+10,6.81E-03,3.83E+33,4.06E+06,5.25E+14,9.77E-01,1.78E+01,3.03E-04,  4.6,r
2.32E+10,6.71E-03,3.83E+33,4.05E+06,5.15E+14,9.62E-01,1.79E+01,2.90E-04,  4.6,r
2.32E+10,6.62E-03,3.83E+33,4.03E+06,5.05E+14,9.47E-01,1.79E+01,2.78E-04,  4.6,r
2.33E+10,6.52E-03,3.83E+33,4.01E+06,4.95E+14,9.33E-01,1.79E+01,2.66E-04,  4.6,r
2.33E+10,6.42E-03,3.83E+33,3.99E+06,4.85E+14,9.18E-01,1.80E+01,2.54E-04,  4.6,r
2.34E+10,6.33E-03,3.83E+33,3.98E+06,4.75E+14,9.04E-01,1.80E+01,2.44E-04,  4.6,r
2.34E+10,6.24E-03,3.83E+33,3.96E+06,4.66E+14,8.90E-01,1.81E+01,2.33E-04,  4.6,r
2.34E+10,6.14E-03,3.83E+33,3.94E+06,4.57E+14,8.76E-01,1.81E+01,2.23E-04,  4.6,r
2.35E+10,6.05E-03,3.83E+33,3.93E+06,4.48E+14,8.63E-01,1.82E+01,2.13E-04,  4.6,r
2.35E+10,5.96E-03,3.83E+33,3.91E+06,4.39E+14,8.49E-01,1.82E+01,2.04E-04,  4.6,r
2.35E+10,5.87E-03,3.83E+33,3.89E+06,4.30E+14,8.36E-01,1.83E+01,1.95E-04,  4.6,r
2.36E+10,5.79E-03,3.83E+33,3.87E+06,4.21E+14,8.23E-01,1.83E+01,1.87E-04,  4.6,r
2.36E+10,5.70E-03,3.83E+33,3.86E+06,4.13E+14,8.10E-01,1.84E+01,1.79E-04,  4.6,r
2.36E+10,5.61E-03,3.83E+33,3.84E+06,4.05E+14,7.97E-01,1.84E+01,1.71E-04,  4.6,r
2.37E+10,5.53E-03,3.83E+33,3.82E+06,3.97E+14,7.85E-01,1.85E+01,1.63E-04,  4.6,r
2.37E+10,5.45E-03,3.83E+33,3.81E+06,3.89E+14,7.72E-01,1.85E+01,1.56E-04,  4.6,r
2.38E+10,5.36E-03,3.83E+33,3.79E+06,3.81E+14,7.60E-01,1.86E+01,1.49E-04,  4.6,r
2.38E+10,5.28E-03,3.83E+33,3.77E+06,3.73E+14,7.48E-01,1.86E+01,1.43E-04,  4.6,r
2.38E+10,5.20E-03,3.83E+33,3.76E+06,3.66E+14,7.37E-01,1.87E+01,1.36E-04,  4.6,r
2.39E+10,5.12E-03,3.83E+33,3.74E+06,3.58E+14,7.25E-01,1.87E+01,1.30E-04,  4.6,r
2.39E+10,5.04E-03,3.83E+33,3.72E+06,3.51E+14,7.13E-01,1.88E+01,1.25E-04,  4.6,r
2.39E+10,4.97E-03,3.83E+33,3.71E+06,3.44E+14,7.02E-01,1.88E+01,1.19E-04,  4.6,r
2.40E+10,4.89E-03,3.83E+33,3.69E+06,3.37E+14,6.91E-01,1.89E+01,1.14E-04,  4.6,r
2.40E+10,4.82E-03,3.83E+33,3.67E+06,3.30E+14,6.80E-01,1.89E+01,1.09E-04,  4.6,r
2.40E+10,4.74E-03,3.83E+33,3.66E+06,3.24E+14,6.69E-01,1.90E+01,1.04E-04,  4.6,r
2.41E+10,4.67E-03,3.83E+33,3.64E+06,3.17E+14,6.58E-01,1.90E+01,9.92E-05,  4.6,r
2.41E+10,4.60E-03,3.83E+33,3.62E+06,3.10E+14,6.48E-01,1.91E+01,9.47E-05,  4.6,r
2.41E+10,4.52E-03,3.83E+33,3.61E+06,3.04E+14,6.38E-01,1.91E+01,9.04E-05,  4.6,r
2.42E+10,4.45E-03,3.83E+33,3.59E+06,2.98E+14,6.27E-01,1.92E+01,8.63E-05,  4.6,r
2.42E+10,4.38E-03,3.83E+33,3.58E+06,2.92E+14,6.17E-01,1.92E+01,8.24E-05,  4.6,r
2.43E+10,4.32E-03,3.83E+33,3.56E+06,2.86E+14,6.07E-01,1.93E+01,7.86E-05,  4.6,r
2.43E+10,4.25E-03,3.83E+33,3.54E+06,2.80E+14,5.98E-01,1.93E+01,7.51E-05,  4.6,r
2.43E+10,4.18E-03,3.83E+33,3.53E+06,2.74E+14,5.88E-01,1.94E+01,7.16E-05,  4.6,r
2.44E+10,4.12E-03,3.83E+33,3.51E+06,2.69E+14,5.78E-01,1.94E+01,6.83E-05,  4.6,r
2.44E+10,4.05E-03,3.83E+33,3.50E+06,2.63E+14,5.69E-01,1.95E+01,6.52E-05,  4.6,r
2.44E+10,3.99E-03,3.83E+33,3.48E+06,2.58E+14,5.60E-01,1.95E+01,6.22E-05,  4.6,r
2.45E+10,3.92E-03,3.83E+33,3.46E+06,2.52E+14,5.51E-01,1.96E+01,5.93E-05,  4.6,r
2.45E+10,3.86E-03,3.83E+33,3.45E+06,2.47E+14,5.42E-01,1.97E+01,5.66E-05,  4.6,r
2.45E+10,3.80E-03,3.83E+33,3.43E+06,2.42E+14,5.33E-01,1.97E+01,5.39E-05,  4.6,r
2.46E+10,3.74E-03,3.83E+33,3.42E+06,2.37E+14,5.24E-01,1.98E+01,5.14E-05,  4.6,r
2.46E+10,3.68E-03,3.83E+33,3.40E+06,2.32E+14,5.16E-01,1.98E+01,4.90E-05,  4.6,r
2.47E+10,3.62E-03,3.83E+33,3.39E+06,2.27E+14,5.07E-01,1.99E+01,4.67E-05,  4.6,r
2.47E+10,3.56E-03,3.83E+33,3.37E+06,2.22E+14,4.99E-01,1.99E+01,4.45E-05,  4.6,r
2.47E+10,3.50E-03,3.83E+33,3.36E+06,2.18E+14,4.91E-01,2.00E+01,4.24E-05,  4.6,r
2.48E+10,3.45E-03,3.83E+33,3.34E+06,2.13E+14,4.83E-01,2.00E+01,4.04E-05,  4.6,r
2.48E+10,3.39E-03,3.83E+33,3.32E+06,2.09E+14,4.75E-01,2.01E+01,3.85E-05,  4.6,r
2.48E+10,3.34E-03,3.83E+33,3.31E+06,2.04E+14,4.67E-01,2.01E+01,3.67E-05,  4.6,r
2.49E+10,3.28E-03,3.83E+33,3.29E+06,2.00E+14,4.59E-01,2.02E+01,3.49E-05,  4.6,r
2.49E+10,3.23E-03,3.83E+33,3.28E+06,1.96E+14,4.52E-01,2.03E+01,3.33E-05,  4.6,r
2.49E+10,3.17E-03,3.83E+33,3.26E+06,1.92E+14,4.44E-01,2.03E+01,3.17E-05,  4.6,r
2.50E+10,3.12E-03,3.83E+33,3.25E+06,1.87E+14,4.37E-01,2.04E+01,3.01E-05,  4.6,r
2.50E+10,3.07E-03,3.83E+33,3.23E+06,1.84E+14,4.29E-01,2.04E+01,2.87E-05,  4.6,r
2.51E+10,3.02E-03,3.83E+33,3.22E+06,1.80E+14,4.22E-01,2.05E+01,2.73E-05,  4.6,r
2.51E+10,2.97E-03,3.83E+33,3.20E+06,1.76E+14,4.15E-01,2.05E+01,2.60E-05,  4.6,r
2.51E+10,2.92E-03,3.83E+33,3.19E+06,1.72E+14,4.08E-01,2.06E+01,2.47E-05,  4.6,r
2.52E+10,2.87E-03,3.83E+33,3.17E+06,1.68E+14,4.01E-01,2.07E+01,2.35E-05,  4.6,r
2.52E+10,2.82E-03,3.83E+33,3.16E+06,1.65E+14,3.95E-01,2.07E+01,2.24E-05,  4.6,r
2.52E+10,2.78E-03,3.83E+33,3.14E+06,1.61E+14,3.88E-01,2.08E+01,2.13E-05,  4.6,r
2.53E+10,2.73E-03,3.83E+33,3.13E+06,1.58E+14,3.81E-01,2.08E+01,2.02E-05,  4.6,r
2.53E+10,2.68E-03,3.83E+33,3.11E+06,1.54E+14,3.75E-01,2.09E+01,1.92E-05,  4.6,r
2.53E+10,2.64E-03,3.83E+33,3.10E+06,1.51E+14,3.69E-01,2.10E+01,1.83E-05,  4.6,r
2.54E+10,2.59E-03,3.83E+33,3.08E+06,1.48E+14,3.62E-01,2.10E+01,1.74E-05,  4.6,r
2.54E+10,2.55E-03,3.83E+33,3.07E+06,1.45E+14,3.56E-01,2.11E+01,1.65E-05,  4.6,r
2.55E+10,2.50E-03,3.83E+33,3.05E+06,1.41E+14,3.50E-01,2.11E+01,1.57E-05,  4.6,r
2.55E+10,2.46E-03,3.83E+33,3.04E+06,1.38E+14,3.44E-01,2.12E+01,1.49E-05,  4.6,r
2.55E+10,2.42E-03,3.83E+33,3.03E+06,1.35E+14,3.38E-01,2.13E+01,1.41E-05,  4.6,r
2.56E+10,2.38E-03,3.83E+33,3.01E+06,1.32E+14,3.32E-01,2.13E+01,1.34E-05,  4.6,r
2.56E+10,2.34E-03,3.83E+33,3.00E+06,1.29E+14,3.27E-01,2.14E+01,1.27E-05,  4.6,r
2.56E+10,2.30E-03,3.83E+33,2.98E+06,1.27E+14,3.21E-01,2.14E+01,1.21E-05,  4.6,r
2.57E+10,2.26E-03,3.83E+33,2.97E+06,1.24E+14,3.16E-01,2.15E+01,1.15E-05,  4.6,r
2.57E+10,2.22E-03,3.83E+33,2.95E+06,1.21E+14,3.10E-01,2.16E+01,1.09E-05,  4.6,r
2.57E+10,2.18E-03,3.83E+33,2.94E+06,1.18E+14,3.05E-01,2.16E+01,1.03E-05,  4.6,r
2.58E+10,2.14E-03,3.83E+33,2.92E+06,1.16E+14,2.99E-01,2.17E+01,9.81E-06,  4.6,r
2.58E+10,2.10E-03,3.83E+33,2.91E+06,1.13E+14,2.94E-01,2.18E+01,9.31E-06,  4.6,r
2.59E+10,2.06E-03,3.83E+33,2.90E+06,1.11E+14,2.89E-01,2.18E+01,8.82E-06,  4.6,r
2.59E+10,2.03E-03,3.83E+33,2.88E+06,1.08E+14,2.84E-01,2.19E+01,8.37E-06,  4.6,r
2.59E+10,1.99E-03,3.83E+33,2.87E+06,1.06E+14,2.79E-01,2.20E+01,7.93E-06,  4.6,r
2.60E+10,1.96E-03,3.83E+33,2.85E+06,1.03E+14,2.74E-01,2.20E+01,7.52E-06,  4.6,r
2.60E+10,1.92E-03,3.83E+33,2.84E+06,1.01E+14,2.69E-01,2.21E+01,7.12E-06,  4.6,r
2.60E+10,1.89E-03,3.83E+33,2.83E+06,9.89E+13,2.65E-01,2.22E+01,6.75E-06,  4.6,r
2.61E+10,1.85E-03,3.83E+33,2.81E+06,9.67E+13,2.60E-01,2.22E+01,6.39E-06,  4.6,r
2.61E+10,1.82E-03,3.83E+33,2.80E+06,9.45E+13,2.55E-01,2.23E+01,6.06E-06,  4.6,r
2.61E+10,1.79E-03,3.83E+33,2.78E+06,9.23E+13,2.51E-01,2.23E+01,5.74E-06,  4.6,r
2.62E+10,1.75E-03,3.83E+33,2.77E+06,9.02E+13,2.46E-01,2.24E+01,5.43E-06,  4.6,r
2.62E+10,1.72E-03,3.83E+33,2.76E+06,8.82E+13,2.42E-01,2.25E+01,5.14E-06,  4.6,r
2.62E+10,1.69E-03,3.83E+33,2.74E+06,8.62E+13,2.38E-01,2.26E+01,4.87E-06,  4.6,r
2.63E+10,1.66E-03,3.83E+33,2.73E+06,8.42E+13,2.33E-01,2.26E+01,4.60E-06,  4.6,r
2.63E+10,1.63E-03,3.83E+33,2.72E+06,8.23E+13,2.29E-01,2.27E+01,4.36E-06,  4.6,r
2.64E+10,1.60E-03,3.83E+33,2.70E+06,8.04E+13,2.25E-01,2.28E+01,4.12E-06,  4.6,r
2.64E+10,1.57E-03,3.83E+33,2.69E+06,7.86E+13,2.21E-01,2.28E+01,3.90E-06,  4.6,r
2.64E+10,1.54E-03,3.83E+33,2.67E+06,7.68E+13,2.17E-01,2.29E+01,3.68E-06,  4.6,r
2.65E+10,1.51E-03,3.83E+33,2.66E+06,7.50E+13,2.13E-01,2.30E+01,3.48E-06,  4.6,r
2.65E+10,1.48E-03,3.83E+33,2.65E+06,7.33E+13,2.09E-01,2.30E+01,3.29E-06,  4.6,r
2.65E+10,1.46E-03,3.83E+33,2.63E+06,7.16E+13,2.05E-01,2.31E+01,3.11E-06,  4.6,r
2.66E+10,1.43E-03,3.83E+33,2.62E+06,6.99E+13,2.02E-01,2.32E+01,2.94E-06,  4.6,r
2.66E+10,1.40E-03,3.83E+33,2.61E+06,6.83E+13,1.98E-01,2.32E+01,2.77E-06,  4.6,r
2.66E+10,1.38E-03,3.83E+33,2.59E+06,6.67E+13,1.94E-01,2.33E+01,2.62E-06,  4.6,r
2.67E+10,1.35E-03,3.83E+33,2.58E+06,6.51E+13,1.91E-01,2.34E+01,2.47E-06,  4.6,r
2.67E+10,1.32E-03,3.83E+33,2.57E+06,6.36E+13,1.87E-01,2.35E+01,2.34E-06,  4.6,r
2.68E+10,1.30E-03,3.83E+33,2.55E+06,6.21E+13,1.84E-01,2.35E+01,2.20E-06,  4.6,r
2.68E+10,1.27E-03,3.83E+33,2.54E+06,6.06E+13,1.80E-01,2.36E+01,2.08E-06,  4.6,r
2.68E+10,1.25E-03,3.83E+33,2.53E+06,5.92E+13,1.77E-01,2.37E+01,1.96E-06,  4.6,r
2.69E+10,1.22E-03,3.83E+33,2.51E+06,5.78E+13,1.74E-01,2.38E+01,1.85E-06,  4.6,r
2.69E+10,1.20E-03,3.83E+33,2.50E+06,5.64E+13,1.71E-01,2.38E+01,1.74E-06,  4.6,r
2.69E+10,1.18E-03,3.83E+33,2.49E+06,5.51E+13,1.67E-01,2.39E+01,1.64E-06,  4.6,r
2.70E+10,1.15E-03,3.83E+33,2.48E+06,5.38E+13,1.64E-01,2.40E+01,1.55E-06,  4.6,r
2.70E+10,1.13E-03,3.83E+33,2.46E+06,5.25E+13,1.61E-01,2.41E+01,1.46E-06,  4.6,r
2.70E+10,1.11E-03,3.83E+33,2.45E+06,5.12E+13,1.58E-01,2.41E+01,1.38E-06,  4.6,r
2.71E+10,1.09E-03,3.83E+33,2.44E+06,5.00E+13,1.55E-01,2.42E+01,1.30E-06,  4.6,r
2.71E+10,1.07E-03,3.83E+33,2.42E+06,4.88E+13,1.52E-01,2.43E+01,1.22E-06,  4.6,r
2.72E+10,1.05E-03,3.83E+33,2.41E+06,4.76E+13,1.49E-01,2.44E+01,1.15E-06,  4.6,r
2.72E+10,1.02E-03,3.83E+33,2.40E+06,4.64E+13,1.47E-01,2.44E+01,1.08E-06,  4.6,r
2.72E+10,1.00E-03,3.83E+33,2.38E+06,4.53E+13,1.44E-01,2.45E+01,1.02E-06,  4.6,r
2.73E+10,9.84E-04,3.83E+33,2.37E+06,4.42E+13,1.41E-01,2.46E+01,9.57E-07,  4.6,r
2.73E+10,9.64E-04,3.83E+33,2.36E+06,4.31E+13,1.38E-01,2.47E+01,9.00E-07,  4.6,r
2.73E+10,9.45E-04,3.83E+33,2.35E+06,4.21E+13,1.36E-01,2.48E+01,8.46E-07,  4.6,r
2.74E+10,9.25E-04,3.83E+33,2.33E+06,4.10E+13,1.33E-01,2.48E+01,7.95E-07,  4.6,r
2.74E+10,9.07E-04,3.83E+33,2.32E+06,4.00E+13,1.30E-01,2.49E+01,7.47E-07,  4.6,r
2.74E+10,8.88E-04,3.83E+33,2.31E+06,3.90E+13,1.28E-01,2.50E+01,7.02E-07,  4.6,r
2.75E+10,8.70E-04,3.83E+33,2.30E+06,3.81E+13,1.25E-01,2.51E+01,6.59E-07,  4.6,r
2.75E+10,8.52E-04,3.83E+33,2.28E+06,3.71E+13,1.23E-01,2.52E+01,6.19E-07,  4.6,r
2.76E+10,8.34E-04,3.83E+33,2.27E+06,3.62E+13,1.21E-01,2.53E+01,5.81E-07,  4.6,r
2.76E+10,8.17E-04,3.83E+33,2.26E+06,3.53E+13,1.18E-01,2.53E+01,5.45E-07,  4.6,r
2.76E+10,8.00E-04,3.83E+33,2.25E+06,3.44E+13,1.16E-01,2.54E+01,5.12E-07,  4.6,r
2.77E+10,7.83E-04,3.83E+33,2.23E+06,3.36E+13,1.14E-01,2.55E+01,4.80E-07,  4.6,r
2.77E+10,7.67E-04,3.83E+33,2.22E+06,3.27E+13,1.11E-01,2.56E+01,4.50E-07,  4.6,r
2.77E+10,7.51E-04,3.83E+33,2.21E+06,3.19E+13,1.09E-01,2.57E+01,4.22E-07,  4.6,r
2.78E+10,7.35E-04,3.83E+33,2.20E+06,3.11E+13,1.07E-01,2.58E+01,3.95E-07,  4.6,r
2.78E+10,7.19E-04,3.83E+33,2.18E+06,3.03E+13,1.05E-01,2.58E+01,3.71E-07,  4.6,r
2.78E+10,7.04E-04,3.83E+33,2.17E+06,2.95E+13,1.03E-01,2.59E+01,3.47E-07,  4.6,r
2.79E+10,6.89E-04,3.83E+33,2.16E+06,2.88E+13,1.01E-01,2.60E+01,3.25E-07,  4.6,r
2.79E+10,6.74E-04,3.83E+33,2.15E+06,2.80E+13,9.86E-02,2.61E+01,3.04E-07,  4.6,r
2.80E+10,6.60E-04,3.83E+33,2.14E+06,2.73E+13,9.66E-02,2.62E+01,2.85E-07,  4.6,r
2.80E+10,6.45E-04,3.83E+33,2.12E+06,2.66E+13,9.47E-02,2.63E+01,2.66E-07,  4.6,r
2.80E+10,6.31E-04,3.83E+33,2.11E+06,2.59E+13,9.27E-02,2.64E+01,2.49E-07,  4.6,r
2.81E+10,6.18E-04,3.83E+33,2.10E+06,2.52E+13,9.09E-02,2.65E+01,2.33E-07,  4.6,r
2.81E+10,6.04E-04,3.83E+33,2.09E+06,2.46E+13,8.90E-02,2.66E+01,2.18E-07,  4.6,r
2.81E+10,5.91E-04,3.83E+33,2.08E+06,2.39E+13,8.72E-02,2.67E+01,2.03E-07,  4.6,r
2.82E+10,5.78E-04,3.83E+33,2.06E+06,2.33E+13,8.54E-02,2.67E+01,1.90E-07,  4.6,r
2.82E+10,5.65E-04,3.83E+33,2.05E+06,2.27E+13,8.36E-02,2.68E+01,1.77E-07,  4.6,r
2.82E+10,5.52E-04,3.83E+33,2.04E+06,2.21E+13,8.19E-02,2.69E+01,1.66E-07,  4.6,r
2.83E+10,5.40E-04,3.83E+33,2.03E+06,2.15E+13,8.02E-02,2.70E+01,1.55E-07,  4.6,r
2.83E+10,5.28E-04,3.83E+33,2.02E+06,2.09E+13,7.85E-02,2.71E+01,1.44E-07,  4.6,r
2.83E+10,5.16E-04,3.83E+33,2.00E+06,2.04E+13,7.69E-02,2.72E+01,1.35E-07,  4.6,r
2.84E+10,5.04E-04,3.83E+33,1.99E+06,1.98E+13,7.52E-02,2.73E+01,1.25E-07,  4.6,r
2.84E+10,4.93E-04,3.83E+33,1.98E+06,1.93E+13,7.37E-02,2.74E+01,1.17E-07,  4.6,r
2.85E+10,4.82E-04,3.83E+33,1.97E+06,1.88E+13,7.21E-02,2.75E+01,1.09E-07,  4.6,r
2.85E+10,4.71E-04,3.83E+33,1.96E+06,1.83E+13,7.06E-02,2.76E+01,1.01E-07,  4.6,r
2.85E+10,4.60E-04,3.83E+33,1.95E+06,1.78E+13,6.91E-02,2.77E+01,9.44E-08,  4.6,r
2.86E+10,4.49E-04,3.83E+33,1.93E+06,1.73E+13,6.76E-02,2.78E+01,8.79E-08,  4.6,r
