# A Homogeneous Main-Sequence Model
# The surface conditions are: The central conditions are:
# Mtot = 1.200000E+00 Msun, Mc/Mtot = 7.07150E-01
# Rtot = 5.202038E-01 Rsun, Rc/Rtot = 3.03000E-01
# Ltot = 1.000000E+00 Lsun, Lc/Ltot = -2.67558E-01
# Teff = 8.000000E+03 K, Density = 3.05198E+02
# X = 7.000000E-01, Temperature = 4.43663E+07
# Y = 2.000000E-01, Pressure = 1.78734E+18 dynes/cm**2
# Z = 1.000000E-01, epsilon = -6.06505E-01 ergs/s/g
# dlnP/dlnT = -2.48271E+01
# Notes:
# (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot = 1.989000E+33
# (2) Convective zones are indicated by 'c', radiative zones by 'r'
# (3) dlnP/dlnT may be limited to +99.9 or -99.9, labeled by '*'
r,Qm,L_r,T,P,rho,kappa,eps,dlPdlT,Zone
1.10E+10,2.93E-01,-1.02E+33,1.40E+07,2.21E+17,1.20E+02,1.17E+01,2.52E+01,-24.8,c
1.13E+10,2.67E-01,4.39E+32,1.41E+07,1.84E+17,9.93E+01,9.84E+00,2.17E+01, 10.9,r
1.17E+10,2.44E-01,1.51E+33,1.38E+07,1.55E+17,8.47E+01,9.17E+00,1.68E+01,  6.7,r
1.21E+10,2.23E-01,2.25E+33,1.35E+07,1.30E+17,7.30E+01,8.92E+00,1.26E+01,  5.5,r
1.24E+10,2.03E-01,2.75E+33,1.31E+07,1.09E+17,6.34E+01,8.87E+00,9.35E+00,  5.1,r
1.28E+10,1.85E-01,3.10E+33,1.26E+07,9.20E+16,5.52E+01,8.93E+00,6.91E+00,  4.8,r
1.31E+10,1.69E-01,3.33E+33,1.22E+07,7.74E+16,4.81E+01,9.05E+00,5.10E+00,  4.7,r
1.35E+10,1.54E-01,3.49E+33,1.17E+07,6.52E+16,4.20E+01,9.22E+00,3.76E+00,  4.6,r
1.39E+10,1.40E-01,3.60E+33,1.13E+07,5.48E+16,3.67E+01,9.42E+00,2.77E+00,  4.5,r
1.42E+10,1.27E-01,3.68E+33,1.09E+07,4.61E+16,3.21E+01,9.64E+00,2.04E+00,  4.5,r
1.46E+10,1.15E-01,3.73E+33,1.05E+07,3.88E+16,2.80E+01,9.88E+00,1.49E+00,  4.5,r
1.50E+10,1.04E-01,3.76E+33,1.01E+07,3.26E+16,2.45E+01,1.01E+01,1.09E+00,  4.5,r
1.53E+10,9.40E-02,3.78E+33,9.69E+06,2.74E+16,2.14E+01,1.04E+01,7.96E-01,  4.5,r
1.57E+10,8.48E-02,3.80E+33,9.33E+06,2.30E+16,1.87E+01,1.06E+01,5.79E-01,  4.5,r
1.60E+10,7.65E-02,3.81E+33,8.97E+06,1.93E+16,1.63E+01,1.09E+01,4.20E-01,  4.5,r
1.64E+10,6.88E-02,3.81E+33,8.63E+06,1.62E+16,1.42E+01,1.12E+01,3.03E-01,  4.5,r
1.68E+10,6.18E-02,3.82E+33,8.30E+06,1.36E+16,1.24E+01,1.15E+01,2.19E-01,  4.5,r
1.71E+10,5.55E-02,3.82E+33,7.99E+06,1.14E+16,1.08E+01,1.18E+01,1.57E-01,  4.5,r
1.75E+10,4.97E-02,3.82E+33,7.68E+06,9.59E+15,9.45E+00,1.21E+01,1.12E-01,  4.5,r
1.78E+10,4.45E-02,3.82E+33,7.39E+06,8.03E+15,8.23E+00,1.24E+01,8.02E-02,  4.5,r
1.82E+10,3.97E-02,3.82E+33,7.10E+06,6.73E+15,7.17E+00,1.27E+01,5.69E-02,  4.5,r
1.86E+10,3.54E-02,3.83E+33,6.83E+06,5.63E+15,6.24E+00,1.30E+01,4.03E-02,  4.5,r
1.89E+10,3.15E-02,3.83E+33,6.57E+06,4.70E+15,5.42E+00,1.33E+01,2.84E-02,  4.6,r
1.93E+10,2.80E-02,3.83E+33,6.31E+06,3.93E+15,4.71E+00,1.36E+01,1.99E-02,  4.6,r
1.97E+10,2.48E-02,3.83E+33,6.07E+06,3.28E+15,4.09E+00,1.40E+01,1.39E-02,  4.6,r
2.00E+10,2.19E-02,3.83E+33,5.83E+06,2.73E+15,3.55E+00,1.43E+01,9.63E-03,  4.6,r
2.04E+10,1.94E-02,3.83E+33,5.60E+06,2.28E+15,3.08E+00,1.47E+01,6.64E-03,  4.6,r
2.07E+10,1.70E-02,3.83E+33,5.38E+06,1.89E+15,2.66E+00,1.50E+01,4.56E-03,  4.6,r
2.11E+10,1.50E-02,3.83E+33,5.16E+06,1.57E+15,2.30E+00,1.54E+01,3.11E-03,  4.6,r
2.15E+10,1.31E-02,3.83E+33,4.96E+06,1.30E+15,1.99E+00,1.58E+01,2.10E-03,  4.6,r
2.18E+10,1.15E-02,3.83E+33,4.75E+06,1.08E+15,1.71E+00,1.62E+01,1.41E-03,  4.6,r
2.22E+10,1.00E-02,3.83E+33,4.56E+06,8.90E+14,1.48E+00,1.66E+01,9.43E-04,  4.6,r
2.22E+10,9.87E-03,3.83E+33,4.54E+06,8.73E+14,1.45E+00,1.67E+01,9.05E-04,  4.6,r
2.23E+10,9.74E-03,3.83E+33,4.52E+06,8.56E+14,1.43E+00,1.67E+01,8.69E-04,  4.6,r
2.23E+10,9.60E-03,3.83E+33,4.50E+06,8.40E+14,1.41E+00,1.67E+01,8.34E-04,  4.6,r
2.23E+10,9.47E-03,3.83E+33,4.48E+06,8.24E+14,1.39E+00,1.68E+01,8.00E-04,  4.6,r
2.24E+10,9.34E-03,3.83E+33,4.47E+06,8.08E+14,1.37E+00,1.68E+01,7.68E-04,  4.6,r
2.24E+10,9.21E-03,3.83E+33,4.45E+06,7.92E+14,1.35E+00,1.69E+01,7.37E-04,  4.6,r
2.24E+10,9.08E-03,3.83E+33,4.43E+06,7.77E+14,1.33E+00,1.69E+01,7.07E-04,  4.6,r
2.25E+10,8.95E-03,3.83E+33,4.41E+06,7.62E+14,1.31E+00,1.70E+01,6.78E-04,  4.6,r
2.25E+10,8.83E-03,3.83E+33,4.39E+06,7.48E+14,1.29E+00,1.70E+01,6.50E-04,  4.6,r
2.26E+10,8.70E-03,3.83E+33,4.37E+06,7.33E+14,1.27E+00,1.70E+01,6.24E-04,  4.6,r
2.26E+10,8.58E-03,3.83E+33,4.35E+06,7.19E+14,1.25E+00,1.71E+01,5.98E-04,  4.6,r
2.26E+10,8.46E-03,3.83E+33,4.33E+06,7.05E+14,1.23E+00,1.71E+01,5.74E-04,  4.6,r
2.27E+10,8.34E-03,3.83E+33,4.32E+06,6.92E+14,1.21E+00,1.72E+01,5.50E-04,  4.6,r
2.27E+10,8.22E-03,3.83E+33,4.30E+06,6.78E+14,1.19E+00,1.72E+01,5.28E-04,  4.6,r
2.27E+10,8.11E-03,3.83E+33,4.28E+06,6.65E+14,1.18E+00,1.73E+01,5.06E-04,  4.6,r
2.28E+10,7.99E-03,3.83E+33,4.26E+06,6.52E+14,1.16E+00,1.73E+01,4.85E-04,  4.6,r
2.28E+10,7.88E-03,3.83E+33,4.24E+06,6.40E+14,1.14E+00,1.74E+01,4.65E-04,  4.6,r
2.28E+10,7.77E-03,3.83E+33,4.23E+06,6.27E+14,1.12E+00,1.74E+01,4.45E-04,  4.6,r
2.29E+10,7.65E-03,3.83E+33,4.21E+06,6.15E+14,1.11E+00,1.74E+01,4.27E-04,  4.6,r
2.29E+10,7.54E-03,3.83E+33,4.19E+06,6.03E+14,1.09E+00,1.75E+01,4.09E-04,  4.6,r
2.30E+10,7.44E-03,3.83E+33,4.17E+06,5.91E+14,1.07E+00,1.75E+01,3.92E-04,  4.6,r
2.30E+10,7.33E-03,3.83E+33,4.15E+06,5.80E+14,1.06E+00,1.76E+01,3.76E-04,  4.6,r
2.30E+10,7.22E-03,3.83E+33,4.14E+06,5.68E+14,1.04E+00,1.76E+01,3.60E-04,  4.6,r
