# A Homogeneous Main-Sequence Model
# The surface conditions are: The central conditions are:
# Mtot = 1.200000E+00 Msun, Mc/Mtot = 4.66063E-01
# Rtot = 5.202038E-01 Rsun, Rc/Rtot = 3.28000E-01
# Ltot = 1.000000E+00 Lsun, Lc/Ltot = -2.36396E-01
# Teff = 8.000000E+03 K, Density = 1.58570E+02
# X = 7.000000E-01, Temperature = 3.39216E+07
# Y = 2.900000E-01, Pressure = 7.20002E+17 dynes/cm**2
# Z = 1.000000E-02, epsilon = -8.13063E-01 ergs/s/g
# dlnP/dlnT = -1.64303E+01
# Notes:
# (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot = 1.989000E+33
# (2) Convective zones are indicated by 'c', radiative zones by 'r'
# (3) dlnP/dlnT may be limited to +99.9 or -99.9, labeled by '*'
r,Qm,L_r,T,P,rho,kappa,eps,dlPdlT,Zone
3.19E+10,9.31E-05,3.83E+33,9.74E+05,2.49E+12,1.91E-02,1.25E+01,3.65E-11,  4.6,r
3.19E+10,8.95E-05,3.83E+33,9.64E+05,2.38E+12,1.84E-02,1.26E+01,3.18E-11,  4.6,r
3.20E+10,8.60E-05,3.83E+33,9.55E+05,2.28E+12,1.78E-02,1.27E+01,2.77E-11,  4.6,r
3.20E+10,8.26E-05,3.83E+33,9.46E+05,2.18E+12,1.72E-02,1.27E+01,2.41E-11,  4.6,r
3.20E+10,7.93E-05,3.83E+33,9.37E+05,2.08E+12,1.66E-02,1.28E+01,2.09E-11,  4.6,r
3.21E+10,7.61E-05,3.83E+33,9.27E+05,1.99E+12,1.60E-02,1.29E+01,1.82E-11,  4.6,r
3.21E+10,7.30E-05,3.83E+33,9.18E+05,1.91E+12,1.55E-02,1.29E+01,1.57E-11,  4.6,r
3.22E+10,7.00E-05,3.83E+33,9.09E+05,1.82E+12,1.49E-02,1.30E+01,1.36E-11,  4.6,r
3.22E+10,6.71E-05,3.83E+33,9.00E+05,1.74E+12,1.44E-02,1.31E+01,1.17E-11,  4.6,r
3.22E+10,6.43E-05,3.83E+33,8.91E+05,1.66E+12,1.39E-02,1.32E+01,1.01E-11,  4.6,r
3.23E+10,6.16E-05,3.83E+33,8.82E+05,1.58E+12,1.34E-02,1.32E+01,8.72E-12,  4.6,r
3.23E+10,5.90E-05,3.83E+33,8.73E+05,1.51E+12,1.29E-02,1.33E+01,7.49E-12,  4.6,r
3.23E+10,5.64E-05,3.83E+33,8.64E+05,1.44E+12,1.25E-02,1.34E+01,6.43E-12,  4.6,r
3.24E+10,5.40E-05,3.83E+33,8.55E+05,1.37E+12,1.20E-02,1.35E+01,5.51E-12,  4.6,r
3.24E+10,5.16E-05,3.83E+33,8.46E+05,1.31E+12,1.16E-02,1.35E+01,4.71E-12,  4.6,r
3.24E+10,4.94E-05,3.83E+33,8.37E+05,1.25E+12,1.11E-02,1.36E+01,4.02E-12,  4.6,r
3.25E+10,4.72E-05,3.83E+33,8.28E+05,1.19E+12,1.07E-02,1.37E+01,3.43E-12,  4.6,r
3.25E+10,4.51E-05,3.83E+33,8.19E+05,1.13E+12,1.03E-02,1.38E+01,2.91E-12,  4.6,r
3.25E+10,4.30E-05,3.83E+33,8.10E+05,1.07E+12,9.90E-03,1.39E+01,2.47E-12,  4.6,r
3.26E+10,4.11E-05,3.83E+33,8.01E+05,1.02E+12,9.52E-03,1.40E+01,2.10E-12,  4.6,r
3.26E+10,3.92E-05,3.83E+33,7.92E+05,9.71E+11,9.15E-03,1.40E+01,1.77E-12,  4.6,r
3.27E+10,3.74E-05,3.83E+33,7.84E+05,9.23E+11,8.79E-03,1.41E+01,1.50E-12,  4.6,r
3.27E+10,3.56E-05,3.83E+33,7.75E+05,8.76E+11,8.44E-03,1.42E+01,1.26E-12,  4.6,r
3.27E+10,3.39E-05,3.83E+33,7.66E+05,8.32E+11,8.10E-03,1.43E+01,1.06E-12,  4.6,r
3.28E+10,3.23E-05,3.83E+33,7.57E+05,7.89E+11,7.78E-03,1.44E+01,8.89E-13,  4.6,r
3.28E+10,3.07E-05,3.83E+33,7.48E+05,7.48E+11,7.46E-03,1.45E+01,7.44E-13,  4.6,r
3.28E+10,2.92E-05,3.83E+33,7.40E+05,7.09E+11,7.15E-03,1.46E+01,6.21E-13,  4.6,r
3.29E+10,2.78E-05,3.83E+33,7.31E+05,6.72E+11,6.86E-03,1.47E+01,5.17E-13,  4.6,r
3.29E+10,2.64E-05,3.83E+33,7.22E+05,6.36E+11,6.57E-03,1.48E+01,4.30E-13,  4.6,r
3.29E+10,2.51E-05,3.83E+33,7.14E+05,6.02E+11,6.29E-03,1.49E+01,3.56E-13,  4.6,r
3.30E+10,2.38E-05,3.83E+33,7.05E+05,5.69E+11,6.02E-03,1.50E+01,2.95E-13,  4.6,r
3.30E+10,2.26E-05,3.83E+33,6.96E+05,5.38E+11,5.76E-03,1.51E+01,2.43E-13,  4.6,r
3.31E+10,2.14E-05,3.83E+33,6.88E+05,5.08E+11,5.51E-03,1.52E+01,2.00E-13,  4.6,r
3.31E+10,2.03E-05,3.83E+33,6.79E+05,4.80E+11,5.27E-03,1.53E+01,1.64E-13,  4.6,r
3.31E+10,1.92E-05,3.83E+33,6.70E+05,4.52E+11,5.04E-03,1.54E+01,1.34E-13,  4.6,r
3.32E+10,1.82E-05,3.83E+33,6.62E+05,4.27E+11,4.81E-03,1.56E+01,1.10E-13,  4.6,r
3.32E+10,1.72E-05,3.83E+33,6.53E+05,4.02E+11,4.59E-03,1.57E+01,8.92E-14,  4.6,r
3.32E+10,1.62E-05,3.83E+33,6.45E+05,3.79E+11,4.38E-03,1.58E+01,7.23E-14,  4.6,r
3.33E+10,1.53E-05,3.83E+33,6.36E+05,3.56E+11,4.18E-03,1.59E+01,5.85E-14,  4.6,r
3.33E+10,1.45E-05,3.83E+33,6.28E+05,3.35E+11,3.98E-03,1.60E+01,4.71E-14,  4.6,r
3.33E+10,1.37E-05,3.83E+33,6.19E+05,3.15E+11,3.79E-03,1.62E+01,3.79E-14,  4.6,r
3.34E+10,1.29E-05,3.83E+33,6.11E+05,2.96E+11,3.61E-03,1.63E+01,3.03E-14,  4.6,r
3.34E+10,1.21E-05,3.83E+33,6.02E+05,2.77E+11,3.44E-03,1.64E+01,2.42E-14,  4.6,r
3.35E+10,1.14E-05,3.83E+33,5.94E+05,2.60E+11,3.27E-03,1.65E+01,1.93E-14,  4.6,r
3.35E+10,1.07E-05,3.83E+33,5.86E+05,2.44E+11,3.11E-03,1.67E+01,1.53E-14,  4.6,r
3.35E+10,1.01E-05,3.83E+33,5.77E+05,2.28E+11,2.95E-03,1.68E+01,1.20E-14,  4.6,r
3.36E+10,9.46E-06,3.83E+33,5.69E+05,2.14E+11,2.80E-03,1.70E+01,9.47E-15,  4.6,r
3.36E+10,8.87E-06,3.83E+33,5.61E+05,2.00E+11,2.66E-03,1.71E+01,7.42E-15,  4.6,r
3.36E+10,8.31E-06,3.83E+33,5.52E+05,1.86E+11,2.52E-03,1.72E+01,5.79E-15,  4.6,r
3.37E+10,7.78E-06,3.83E+33,5.44E+05,1.74E+11,2.39E-03,1.74E+01,4.49E-15,  4.6,r
3.37E+10,7.28E-06,3.83E+33,5.36E+05,1.62E+11,2.26E-03,1.76E+01,3.48E-15,  4.6,r
3.37E+10,6.81E-06,3.83E+33,5.27E+05,1.51E+11,2.14E-03,1.77E+01,2.68E-15,  4.6,r
3.38E+10,6.36E-06,3.83E+33,5.19E+05,1.40E+11,2.02E-03,1.79E+01,2.05E-15,  4.6,r
3.38E+10,5.93E-06,3.83E+33,5.11E+05,1.31E+11,1.91E-03,1.80E+01,1.56E-15,  4.6,r
3.39E+10,5.52E-06,3.83E+33,5.03E+05,1.21E+11,1.80E-03,1.82E+01,1.19E-15,  4.6,r
3.39E+10,5.14E-06,3.83E+33,4.95E+05,1.12E+11,1.70E-03,1.84E+01,8.95E-16,  4.6,r
3.39E+10,4.78E-06,3.83E+33,4.86E+05,1.04E+11,1.60E-03,1.86E+01,6.72E-16,  4.6,r
3.40E+10,4.44E-06,3.83E+33,4.78E+05,9.64E+10,1.50E-03,1.87E+01,5.02E-16,  4.6,r
3.40E+10,4.12E-06,3.83E+33,4.70E+05,8.91E+10,1.41E-03,1.89E+01,3.72E-16,  4.6,r
3.40E+10,3.82E-06,3.83E+33,4.62E+05,8.23E+10,1.33E-03,1.91E+01,2.75E-16,  4.6,r
3.41E+10,3.53E-06,3.83E+33,4.54E+05,7.59E+10,1.25E-03,1.93E+01,2.01E-16,  4.6,r
3.41E+10,3.26E-06,3.83E+33,4.46E+05,6.99E+10,1.17E-03,1.95E+01,1.47E-16,  4.6,r
3.41E+10,3.01E-06,3.83E+33,4.38E+05,6.43E+10,1.10E-03,1.97E+01,1.06E-16,  4.6,r
3.42E+10,2.78E-06,3.83E+33,4.30E+05,5.91E+10,1.03E-03,1.99E+01,7.63E-17,  4.6,r
3.42E+10,2.56E-06,3.83E+33,4.22E+05,5.42E+10,9.58E-04,2.02E+01,5.44E-17,  4.6,r
3.43E+10,2.35E-06,3.83E+33,4.14E+05,4.96E+10,8.95E-04,2.04E+01,3.86E-17,  4.6,r
3.43E+10,2.16E-06,3.83E+33,4.06E+05,4.54E+10,8.34E-04,2.06E+01,2.71E-17,  4.6,r
3.43E+10,1.98E-06,3.83E+33,3.98E+05,4.14E+10,7.77E-04,2.08E+01,1.89E-17,  4.6,r
3.44E+10,1.81E-06,3.83E+33,3.90E+05,3.78E+10,7.23E-04,2.11E+01,1.30E-17,  4.6,r
3.44E+10,1.65E-06,3.83E+33,3.82E+05,3.44E+10,6.71E-04,2.13E+01,8.93E-18,  4.6,r
3.44E+10,1.50E-06,3.83E+33,3.74E+05,3.12E+10,6.23E-04,2.16E+01,6.06E-18,  4.6,r
3.45E+10,1.37E-06,3.83E+33,3.66E+05,2.83E+10,5.77E-04,2.19E+01,4.07E-18,  4.6,r
3.45E+10,1.24E-06,3.83E+33,3.58E+05,2.56E+10,5.33E-04,2.22E+01,2.70E-18,  4.6,r
3.45E+10,1.13E-06,3.83E+33,3.50E+05,2.31E+10,4.92E-04,2.24E+01,1.78E-18,  4.6,r
3.46E+10,1.02E-06,3.83E+33,3.42E+05,2.08E+10,4.54E-04,2.27E+01,1.16E-18,  4.6,r
3.46E+10,9.19E-07,3.83E+33,3.35E+05,1.87E+10,4.18E-04,2.31E+01,7.43E-19,  4.6,r
3.46E+10,8.27E-07,3.83E+33,3.27E+05,1.68E+10,3.84E-04,2.34E+01,4.72E-19,  4.6,r
3.47E+10,7.43E-07,3.83E+33,3.19E+05,1.51E+10,3.52E-04,2.37E+01,2.96E-19,  4.6,r
3.47E+10,6.66E-07,3.83E+33,3.11E+05,1.34E+10,3.22E-04,2.40E+01,1.83E-19,  4.6,r
3.48E+10,5.95E-07,3.83E+33,3.03E+05,1.20E+10,2.94E-04,2.44E+01,1.11E-19,  4.6,r
3.48E+10,5.30E-07,3.83E+33,2.96E+05,1.06E+10,2.68E-04,2.48E+01,6.67E-20,  4.6,r
3.48E+10,4.71E-07,3.83E+33,2.88E+05,9.41E+09,2.44E-04,2.52E+01,3.93E-20,  4.6,r
3.49E+10,4.17E-07,3.83E+33,2.80E+05,8.31E+09,2.21E-04,2.56E+01,2.28E-20,  4.6,r
3.49E+10,3.68E-07,3.83E+33,2.72E+05,7.31E+09,2.00E-04,2.60E+01,1.30E-20,  4.6,r
3.49E+10,3.24E-07,3.83E+33,2.65E+05,6.41E+09,1.81E-04,2.64E+01,7.24E-21,  4.6,r
3.50E+10,2.84E-07,3.83E+33,2.57E+05,5.60E+09,1.62E-04,2.69E+01,3.96E-21,  4.6,r
3.50E+10,2.48E-07,3.83E+33,2.49E+05,4.88E+09,1.46E-04,2.74E+01,2.11E-21,  4.6,r
3.50E+10,2.16E-07,3.83E+33,2.42E+05,4.23E+09,1.30E-04,2.79E+01,1.10E-21,  4.6,r
3.51E+10,1.87E-07,3.83E+33,2.34E+05,3.65E+09,1.16E-04,2.84E+01,5.62E-22,  4.6,r
3.51E+10,1.62E-07,3.83E+33,2.27E+05,3.14E+09,1.03E-04,2.90E+01,2.78E-22,  4.6,r
3.52E+10,1.39E-07,3.83E+33,2.19E+05,2.68E+09,9.13E-05,2.96E+01,1.34E-22,  4.6,r
3.52E+10,1.18E-07,3.83E+33,2.11E+05,2.28E+09,8.05E-05,3.02E+01,6.23E-23,  4.6,r
3.52E+10,1.01E-07,3.83E+33,2.04E+05,1.93E+09,7.06E-05,3.08E+01,2.81E-23,  4.6,r
3.53E+10,8.49E-08,3.83E+33,1.96E+05,1.63E+09,6.17E-05,3.15E+01,1.22E-23,  4.6,r
3.53E+10,7.13E-08,3.83E+33,1.89E+05,1.36E+09,5.36E-05,3.23E+01,5.07E-24,  4.6,r
3.53E+10,5.94E-08,3.83E+33,1.81E+05,1.13E+09,4.64E-05,3.30E+01,2.02E-24,  4.6,r
3.54E+10,4.91E-08,3.83E+33,1.74E+05,9.30E+08,3.98E-05,3.39E+01,7.68E-25,  4.6,r
3.54E+10,4.03E-08,3.83E+33,1.66E+05,7.60E+08,3.40E-05,3.48E+01,2.77E-25,  4.6,r
3.54E+10,3.28E-08,3.83E+33,1.59E+05,6.16E+08,2.89E-05,3.57E+01,9.40E-26,  4.6,r
3.55E+10,2.65E-08,3.83E+33,1.52E+05,4.94E+08,2.43E-05,3.68E+01,2.99E-26,  4.6,r
3.55E+10,2.11E-08,3.83E+33,1.44E+05,3.93E+08,2.03E-05,3.79E+01,8.87E-27,  4.6,r
3.56E+10,1.67E-08,3.83E+33,1.37E+05,3.08E+08,1.68E-05,3.91E+01,2.42E-27,  4.6,r
3.56E+10,1.30E-08,3.83E+33,1.29E+05,2.39E+08,1.37E-05,4.04E+01,6.04E-28,  4.6,r
3.56E+10,1.00E-08,3.83E+33,1.22E+05,1.82E+08,1.11E-05,4.18E+01,1.36E-28,  4.6,r
3.57E+10,7.58E-09,3.83E+33,1.15E+05,1.37E+08,8.90E-06,4.34E+01,2.72E-29,  4.6,r
3.57E+10,5.65E-09,3.83E+33,1.07E+05,1.01E+08,7.01E-06,4.52E+01,4.75E-30,  4.6,r
3.57E+10,4.15E-09,3.83E+33,1.00E+05,7.30E+07,5.44E-06,4.71E+01,7.09E-31,  4.6,r
3.58E+10,2.99E-09,3.83E+33,9.27E+04,5.15E+07,4.14E-06,4.93E+01,8.78E-32,  4.6,r
3.58E+10,2.11E-09,3.83E+33,8.54E+04,3.54E+07,3.08E-06,5.18E+01,8.72E-33,  4.6,r
3.58E+10,1.46E-09,3.83E+33,7.81E+04,2.35E+07,2.24E-06,5.47E+01,6.62E-34,  4.7,r
3.59E+10,9.13E-10,3.83E+33,7.02E+04,1.43E+07,1.52E-06,5.81E+01,2.78E-35,  4.7,r
3.59E+10,5.41E-10,3.83E+33,6.24E+04,8.24E+06,9.82E-07,6.21E+01,7.10E-37,  4.7,r
3.60E+10,2.99E-10,3.83E+33,5.45E+04,4.39E+06,5.99E-07,6.68E+01,9.50E-39,  4.7,r
3.60E+10,1.52E-10,3.83E+33,4.67E+04,2.13E+06,3.38E-07,7.26E+01,5.23E-41,  4.7,r
3.60E+10,6.82E-11,3.83E+33,3.89E+04,8.97E+05,1.71E-07,7.99E+01,8.08E-44,  4.7,r
3.61E+10,2.58E-11,3.83E+33,3.11E+04,3.10E+05,7.41E-08,8.93E+01,1.76E-47,  4.8,r
3.61E+10,7.40E-12,3.83E+33,2.33E+04,7.75E+04,2.46E-08,1.01E+02,1.36E-52,  5.0,r
3.61E+10,1.28E-12,3.83E+33,1.55E+04,1.03E+04,4.88E-09,1.15E+02,1.22E-60,  5.2,r
3.62E+10,6.44E-14,3.83E+33,7.74E+03,2.77E+02,2.58E-10,1.24E+02,4.79E-77,  4.2,r
3.62E+10,0.00E+00,3.83E+33,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,  4.2,r
